type,side,qty,symbol,price,oid,remark,2023-09-27T12:24:46.880885
limit,buy,150,NIFTY23SEP19600PE,29.05,230927601601818,entry,2023-09-27T12:25:09.748856
type,side,qty,symbol,price,oid,remark,2023-09-27T12:26:55.208037
type,side,qty,symbol,price,oid,remark,2023-09-27T12:30:25.546699
type,side,qty,symbol,price,oid,remark,2023-09-27T12:30:25.547008
type,side,qty,symbol,price,oid,remark,2023-09-27T12:41:59.125683
type,side,qty,symbol,price,oid,remark,2023-09-27T12:41:59.126048
type,side,qty,symbol,price,oid,remark,2023-09-27T12:42:52.606796
type,side,qty,symbol,price,oid,remark,2023-09-27T12:42:52.607030
limit,buy,150,NIFTY23SEP19600PE,32.2,230927601671251,entry,2023-09-27T12:43:16.293279
limit,buy,150,NIFTY23SEP19600PE,32.2,230927601671254,entry,2023-09-27T12:43:16.368113
limit,buy,150,NIFTY23SEP19600PE,32.2,230927601672213,entry,2023-09-27T12:43:36.467425
limit,buy,150,NIFTY23SEP19600PE,32.2,230927601673176,entry,2023-09-27T12:43:56.555723
type,side,qty,symbol,price,oid,remark,2023-09-27T15:03:25.806940
type,side,qty,symbol,price,oid,remark,2023-09-27T15:03:25.807271
limit,buy,150,NIFTY23SEP19600PE,10.4,230927602495427,entry,2023-09-27T15:03:51.037386
type,side,qty,symbol,price,oid,remark,2023-09-27T15:12:12.011133
type,side,qty,symbol,price,oid,remark,2023-09-27T15:12:12.011541
limit,buy,150,NIFTY23SEP19600PE,11.45,230927602545039,entry,2023-09-27T15:12:35.931055
type,side,qty,symbol,price,oid,remark,2023-09-27T15:13:35.452560
type,side,qty,symbol,price,oid,remark,2023-09-27T15:14:02.546449
type,side,qty,symbol,price,oid,remark,2023-09-27T15:14:02.546700
type,side,qty,symbol,price,oid,remark,2023-09-27T15:15:04.668349
type,side,qty,symbol,price,oid,remark,2023-09-27T15:15:04.668757
type,side,qty,symbol,price,oid,remark,2023-09-27T15:16:32.748122
type,side,qty,symbol,price,oid,remark,2023-09-27T15:16:32.748523
type,side,qty,symbol,price,oid,remark,2023-09-27T15:17:34.323519
type,side,qty,symbol,price,oid,remark,2023-09-27T15:17:34.323653
