type,side,qty,symbol,price,oid,remark,2023-09-15T15:22:52.239847
type,side,qty,symbol,price,oid,remark,2023-09-15T15:23:14.952752
type,side,qty,symbol,price,oid,remark,2023-09-15T15:23:14.953426
type,side,qty,symbol,price,oid,remark,2023-09-15T15:25:26.017736
type,side,qty,symbol,price,oid,remark,2023-09-15T15:25:26.018106
type,side,qty,symbol,price,oid,remark,2023-09-15T15:26:13.067172
type,side,qty,symbol,price,oid,remark,2023-09-15T15:26:13.067421
type,side,qty,symbol,price,oid,remark,2023-09-15T15:27:25.793483
type,side,qty,symbol,price,oid,remark,2023-09-15T15:27:25.793808
limit,buy,150,NIFTY2392120100PE,46.85,230915602663514,entry,2023-09-15T15:27:51.315841
type,side,qty,symbol,price,oid,remark,2023-09-15T15:32:50.492295
type,side,qty,symbol,price,oid,remark,2023-09-15T15:33:15.701755
