type,side,qty,symbol,price,oid,remark,2023-09-28T13:09:06.500974
limit,buy,50,NIFTY23SEP19600PE,25.45,230928602109720,entry,2023-09-28T13:09:34.839112
type,side,qty,symbol,price,oid,remark,2023-09-28T13:12:49.035136
type,side,qty,symbol,price,oid,remark,2023-09-28T13:12:49.035458
limit,buy,50,NIFTY23SEP19600PE,32.6,230928602145263,entry,2023-09-28T13:13:17.105241
limit,sell,50,NIFTY23SEP19600PE,26.89,230928602147707,tp,2023-09-28T13:13:37.325841
market,sell,50,NIFTY23SEP19600PE, ,230928602147727,squareoffopen,2023-09-28T13:13:37.538744
type,side,qty,symbol,price,oid,remark,2023-09-28T13:20:39.197461
type,side,qty,symbol,price,oid,remark,2023-09-28T13:20:39.197867
limit,buy,50,NIFTY23SEP19600PE,39.85,230928602204960,entry,2023-09-28T13:21:06.742681
limit,sell,50,NIFTY23SEP19600PE,35.55,230928602207146,tp,2023-09-28T13:21:26.889810
type,side,qty,symbol,price,oid,remark,2023-09-28T13:22:39.586252
type,side,qty,symbol,price,oid,remark,2023-09-28T13:22:39.586625
limit,buy,50,NIFTY23SEP19600PE,36.2,230928602217437,entry,2023-09-28T13:23:09.103513
limit,buy,50,NIFTY23SEP19600PE,42.4,230928602250715,entry,2023-09-28T13:27:13.316590
type,side,qty,symbol,price,oid,remark,2023-09-28T13:27:40.063569
type,side,qty,symbol,price,oid,remark,2023-09-28T13:27:40.063694
type,side,qty,symbol,price,oid,remark,2023-09-28T13:27:47.519495
limit,buy,50,NIFTY23SEP19600PE,51.4,230928602264461,entry,2023-09-28T13:28:29.726186
limit,sell,50,NIFTY23SEP19600PE,41.9,230928602274817,tp,2023-09-28T13:29:20.741947
market,sell,50,NIFTY23SEP19600PE,6.4,230928602274830,global_sl,2023-09-28T13:29:20.799046
market,sell,50,NIFTY23SEP19600PE,6.4,230928602274860,global_sl,2023-09-28T13:29:20.991244
limit,buy,50,NIFTY23SEP19600PE,47.85,230928602283187,entry,2023-09-28T13:30:11.719901
