2023-09-27T12:25:09.750343
process,pnl,2023-09-27T12:30:25.554319
process,pnl,2023-09-27T12:41:59.133539
process,pnl,2023-09-27T12:42:52.614410
2023-09-27T12:43:16.294427
process,pnl,2023-09-27T15:03:25.813831
2023-09-27T15:03:51.038901
2023-09-27T15:03:51.038901,2023-09-27T15:07:17.799775
process,pnl,2023-09-27T15:12:12.020049
2023-09-27T15:12:35.932209
process,pnl,2023-09-27T15:14:02.554884
process,pnl,2023-09-27T15:15:04.678111
process,pnl,2023-09-27T15:16:32.754850
2023-09-27T15:17:03.909303
process,pnl,2023-09-27T15:17:34.327420
