type,side,qty,symbol,price,oid,remark,2023-10-05T12:41:21.875855
limit,buy,50,NIFTY23O0519600PE,63.45,231005601675093,entry,2023-10-05T12:41:52.892122
type,side,qty,symbol,price,oid,remark,2023-10-05T12:42:25.851843
market,sell,50,NIFTY23O0519600PE, ,231005601676962,squareoffopen,2023-10-05T12:42:26.226549
type,side,qty,symbol,price,oid,remark,2023-10-05T12:44:41.656946
limit,buy,50,NIFTY23O0519600PE,65.2,231005601695189,entry,2023-10-05T12:46:11.244565
limit,sell,50,NIFTY23O0519600PE,65.25,231005601701907,tp,2023-10-05T12:47:53.713080
limit,sell,50,NIFTY23O0519600PE,20.2,231005601704519,global_sl,2023-10-05T12:48:12.629096
type,side,qty,symbol,price,oid,remark,2023-10-05T12:54:04.275314
limit,sell,50,NIFTY23O0519000PE,0.05,231005601731462,global_sl,2023-10-05T12:54:04.432832
type,side,qty,symbol,price,oid,remark,2023-10-05T14:44:02.219457
limit,buy,50,NIFTY23O0519600PE,49.0,231005602288235,entry,2023-10-05T14:44:11.423904
type,side,qty,symbol,price,oid,remark,2023-10-05T14:44:30.532602
market,sell,50,NIFTY23O0519600PE, ,231005602290170,squareoffopen,2023-10-05T14:44:32.125251
type,side,qty,symbol,price,oid,remark,2023-10-05T14:45:25.733121
limit,buy,50,NIFTY23O0519600PE,47.1,231005602296413,entry,2023-10-05T14:45:35.079501
limit,sell,50,NIFTY23O0519600PE,51.25,231005602298243,tp,2023-10-05T14:45:55.299560
limit,sell,50,NIFTY23O0519600PE,2.1,231005602298252,global_sl,2023-10-05T14:45:55.393235
market,sell,50,NIFTY23O0519600PE, ,231005602298274,squareoffopen,2023-10-05T14:45:55.647122
