type,side,qty,symbol,price,remark,2023-08-08T14:41:43.728965
type,side,qty,symbol,price,remark,2023-08-08T14:43:45.761693
type,side,qty,symbol,price,remark,2023-08-08T14:47:16.210809
type,side,qty,symbol,price,remark,2023-08-08T14:51:08.136179
type,side,qty,symbol,price,remark,2023-08-08T14:56:45.547818
type,side,qty,symbol,price,remark,2023-08-08T15:09:45.097385
type,side,qty,symbol,price,remark,2023-08-08T15:13:12.348361
type,side,qty,symbol,price,remark,2023-08-08T15:14:04.657525
type,side,qty,symbol,price,remark,2023-08-08T15:16:02.330260
type,side,qty,symbol,price,remark,2023-08-08T15:17:32.386088
type,side,qty,symbol,price,remark,2023-08-08T15:20:33.387211
