timestamp,process,pnl,2023-08-07T15:08:58.427791
timestamp,process,pnl,2023-08-07T15:09:41.721613
timestamp,process,pnl,2023-08-07T16:04:00.165614
timestamp,process,pnl,2023-08-08T14:41:43.730197
timestamp,process,pnl,2023-08-08T14:43:45.762253
timestamp,process,pnl,2023-08-08T14:47:16.211376
timestamp,process,pnl,2023-08-08T14:51:08.136734
timestamp,process,pnl,2023-08-08T14:56:45.548417
timestamp,process,pnl,2023-08-08T15:09:45.097995
timestamp,process,pnl,2023-08-08T15:13:12.349006
timestamp,process,pnl,2023-08-08T15:14:04.658146
timestamp,process,pnl,2023-08-08T15:16:02.331593
timestamp,process,pnl,2023-08-08T15:17:32.387088
timestamp,process,pnl,2023-08-08T15:20:33.387812
