limit,buy,50,NIFTY23O0519600PE,183.0,231004601079167,entry,2023-10-04T10:40:35.435244
limit,sell,50,NIFTY23O0519600PE,181.95,231004601081298,tp,2023-10-04T10:40:55.584378
market,sell,50,NIFTY23O0519600PE,138.0,231004601081303,global_sl,2023-10-04T10:40:55.640553
market,sell,50,NIFTY23O0519600PE,138.0,231004601089546,global_sl,2023-10-04T10:41:45.674950
type,side,qty,symbol,price,oid,remark,2023-10-04T13:06:20.434848
limit,buy,50,NIFTY23O0519600PE,256.9,231004601964491,entry,2023-10-04T13:06:30.413415
limit,sell,50,NIFTY23O0519600PE,249.5,231004601967713,tp,2023-10-04T13:06:50.536977
market,sell,50,NIFTY23O0519600PE,211.9,231004601967728,global_sl,2023-10-04T13:06:50.608344
type,side,qty,symbol,price,oid,remark,2023-10-04T13:34:12.496086
limit,buy,50,NIFTY23O0519600PE,244.25,231004602152032,entry,2023-10-04T13:34:22.660046
limit,sell,50,NIFTY23O0519600PE,240.55,231004602156281,tp,2023-10-04T13:35:12.856602
market,sell,50,NIFTY23O0519600PE,199.25,231004602156289,global_sl,2023-10-04T13:35:12.911055
market,sell,50,NIFTY23O0519600PE,199.25,231004602156303,global_sl,2023-10-04T13:35:13.061287
limit,buy,50,NIFTY23O0519600PE,243.4,231004602162529,entry,2023-10-04T13:36:23.065514
type,side,qty,symbol,price,oid,remark,2023-10-04T13:37:27.717937
type,side,qty,symbol,price,oid,remark,2023-10-04T13:38:27.532968
market,sell,50,NIFTY23O0519600PE, ,231004602173378,squareoffopen,2023-10-04T13:38:28.939820
type,side,qty,symbol,price,oid,remark,2023-10-04T13:42:41.784507
limit,buy,50,NIFTY23O0519600PE,240.4,231004602193892,entry,2023-10-04T13:42:51.859556
limit,sell,50,NIFTY23O0519600PE,240.9,231004602196003,tp,2023-10-04T13:43:22.333129
limit,sell,50,NIFTY23O0519600PE,195.4,231004602196007,global_sl,2023-10-04T13:43:22.390263
type,side,qty,symbol,price,oid,remark,2023-10-04T13:43:52.978540
market,sell,50,NIFTY23O0519600PE, ,231004602198360,squareoffopen,2023-10-04T13:43:53.379269
