2023-09-28T13:09:34.843164
2023-09-28T13:09:34.843164,2023-09-28T13:12:27.918539
process,pnl,2023-09-28T13:12:49.039024
2023-09-28T13:13:17.108436
process,pnl,2023-09-28T13:20:39.210268
2023-09-28T13:21:06.744016
process,pnl,2023-09-28T13:22:39.597475
2023-09-28T13:23:09.104706
2023-09-28T13:23:09.104706,2023-09-28T13:24:20.533044
2023-09-28T13:23:09.104706,2023-09-28T13:24:20.533044,2023-09-28T13:25:11.302415
2023-09-28T13:23:09.104706,2023-09-28T13:24:20.533044,2023-09-28T13:25:11.302415,2023-09-28T13:26:22.332496
2023-09-28T13:23:09.104706,2023-09-28T13:24:20.533044,2023-09-28T13:25:11.302415,2023-09-28T13:26:22.332496,2023-09-28T13:27:13.317820
process,pnl,2023-09-28T13:27:40.066755
2023-09-28T13:28:29.727652
2023-09-28T13:28:29.727652,2023-09-28T13:29:20.801551
2023-09-28T13:28:29.727652,2023-09-28T13:29:20.801551,2023-09-28T13:30:11.721753
