Date (plain text),Day,Description,Date
17th December 2010,Friday,Moharum,12/17/2010
"26th January, 2011",Wednesday,Republic Day,1/26/2011
"2nd March, 2011",Wednesday,Mahashivratri,3/2/2011
"12th April, 2011",Tuesday,Ram Navmi,4/12/2011
"14th April, 2011",Thursday,Dr. Babasaheb Ambedkar Jayanti,4/14/2011
"22nd April, 2011",Friday,Good Friday,4/22/2011
"15th August, 2011",Monday,Independence Day,8/15/2011
"31st August, 2011",Wednesday,Ramzan Id,8/31/2011
"1st September, 2011",Thursday,Shri Ganesh Chaturthi,9/1/2011
"6th October, 2011",Thursday,Dassera,10/6/2011
"26th October, 2011",Wednesday,Diwali Amavasya (Laxmi Pujan),10/26/2011
"27th October, 2011",Thursday,Diwali Balipratipada,10/27/2011
7th November 2011,Monday,Bakri-Id,11/7/2011
"10th November, 2011",Thursday,Gurunanak Jayanti,11/10/2011
6th December 2011,Tuesday,Moharum,12/6/2011
"January 26, 2012",Thursday,Republic Day,1/26/2012
"February 20, 2012",Monday,Mahashivratri,2/20/2012
"March 8, 2012",Thursday,Holi,3/8/2012
"April 5, 2012",Thursday,Mahavir Jayanti,4/5/2012
"April 6, 2012",Friday,Good Friday,4/6/2012
"May 1, 2012",Tuesday,Maharashtra Day,5/1/2012
"August 15, 2012",Wednesday,Independence Day,8/15/2012
"August 20, 2012",Monday,Ramzan Id,8/20/2012
"September 19, 2012",Wednesday,Ganesh Chaturthi,9/19/2012
"October 2, 2012",Tuesday,Mahatma Gandhi Jayanti,10/2/2012
"October 24, 2012",Wednesday,Dussera – Vijaya Dashmi,10/24/2012
"October 26, 2012",Friday,Bakri Id,10/26/2012
"November 13, 2012",Tuesday,Diwali Amavasya (Laxmi Pujan),11/13/2012
"November 14, 2012",Wednesday,Diwali Balipratipada,11/14/2012
"November 28, 2012",Wednesday,Gurunanak Jayanti,11/28/2012
"December 25, 2012",Tuesday,Christmas,12/25/2012
"January 26, 2013",Saturday,Republic Day,1/26/2013
